Geno,Loc,Year,Block,BS
BESC-1,CA,2010,2,5.666666667
BESC-1,CA,2010,3,3.666666667
BESC-1,CA,2010,Replacement,2.5
BESC-10,CA,2010,2,NA
BESC-10,CA,2010,3,6
BESC-10,CA,2010,Replacement,6
BESC-100,CA,2010,1,5
BESC-100,CA,2010,3,2.5
BESC-100,CA,2010,Replacement,5.666666667
BESC-101,CA,2010,2,6
BESC-101,CA,2010,Replacement,5.666666667
BESC-102,CA,2010,1,NA
BESC-102,CA,2010,2,5
BESC-102,CA,2010,Replacement,5.333333333
BESC-103,CA,2010,1,5.666666667
BESC-103,CA,2010,2,5.333333333
BESC-103,CA,2010,3,3.666666667
BESC-103,CA,2010,Replacement,6
BESC-105,CA,2010,1,4
BESC-105,CA,2010,2,5.666666667
BESC-105,CA,2010,3,6
BESC-105,CA,2010,Replacement,NA
BESC-106,CA,2010,1,6
BESC-106,CA,2010,2,6
BESC-106,CA,2010,Replacement,5.666666667
BESC-107,CA,2010,3,6
BESC-107,CA,2010,Replacement,6
BESC-108,CA,2010,1,6
BESC-108,CA,2010,3,6
BESC-108,CA,2010,Replacement,6
BESC-109,CA,2010,3,5.666666667
BESC-109,CA,2010,Replacement,NA
BESC-11,CA,2010,1,4.333333333
BESC-11,CA,2010,2,5
BESC-11,CA,2010,3,3.666666667
BESC-11,CA,2010,Replacement,5.666666667
BESC-110,CA,2010,1,6
BESC-110,CA,2010,2,4
BESC-111,CA,2010,1,6
BESC-111,CA,2010,3,6
BESC-112,CA,2010,1,5.666666667
BESC-112,CA,2010,2,6
BESC-112,CA,2010,Replacement,6
BESC-113,CA,2010,2,6
BESC-113,CA,2010,3,3.666666667
BESC-113,CA,2010,Replacement,6
BESC-114,CA,2010,1,5.333333333
BESC-114,CA,2010,2,NA
BESC-114,CA,2010,3,3.666666667
BESC-114,CA,2010,Replacement,4
BESC-115,CA,2010,1,3
BESC-115,CA,2010,2,4
BESC-115,CA,2010,3,3
BESC-115,CA,2010,Replacement,6
BESC-116,CA,2010,1,6
BESC-116,CA,2010,2,6
BESC-116,CA,2010,3,5.666666667
BESC-116,CA,2010,Replacement,6
BESC-117,CA,2010,1,4
BESC-117,CA,2010,2,4
BESC-117,CA,2010,Replacement,5.333333333
BESC-118,CA,2010,1,5
BESC-118,CA,2010,3,6
BESC-118,CA,2010,Replacement,6
BESC-119,CA,2010,2,5.666666667
BESC-119,CA,2010,3,6
BESC-119,CA,2010,Replacement,6
BESC-12,CA,2010,1,5.333333333
BESC-12,CA,2010,2,5.666666667
BESC-12,CA,2010,3,3
BESC-12,CA,2010,3,6
BESC-121,CA,2010,1,3
BESC-121,CA,2010,2,5
BESC-121,CA,2010,Replacement,5.666666667
BESC-122,CA,2010,3,5.333333333
BESC-123,CA,2010,1,5.666666667
BESC-123,CA,2010,2,6
BESC-123,CA,2010,3,6
BESC-123,CA,2010,Replacement,6
BESC-124,CA,2010,1,5.333333333
BESC-124,CA,2010,Replacement,6
BESC-125,CA,2010,1,4.333333333
BESC-125,CA,2010,3,6
BESC-126,CA,2010,2,6
BESC-126,CA,2010,3,5.333333333
BESC-127,CA,2010,1,5.666666667
BESC-127,CA,2010,2,6
BESC-127,CA,2010,3,6
BESC-128,CA,2010,3,6
BESC-128,CA,2010,Replacement,6
BESC-129,CA,2010,1,NA
BESC-129,CA,2010,2,6
BESC-129,CA,2010,3,5.666666667
BESC-129,CA,2010,Replacement,6
BESC-13,CA,2010,2,6
BESC-130,CA,2010,1,4
BESC-130,CA,2010,3,2.666666667
BESC-131,CA,2010,1,3
BESC-131,CA,2010,3,5.333333333
BESC-132,CA,2010,1,6
BESC-132,CA,2010,2,6
BESC-132,CA,2010,Replacement,6
BESC-133,CA,2010,1,4.333333333
BESC-133,CA,2010,2,NA
BESC-134,CA,2010,1,NA
BESC-134,CA,2010,2,NA
BESC-134,CA,2010,Replacement,4
BESC-135,CA,2010,1,NA
BESC-135,CA,2010,3,NA
BESC-136,CA,2010,3,6
BESC-136,CA,2010,Replacement,5
BESC-137,CA,2010,1,5
BESC-137,CA,2010,2,6
BESC-138,CA,2010,2,5.333333333
BESC-138,CA,2010,3,3.666666667
