Geno,Block,Loc,Year,Height
BESC-1,2,CA,2011,240
BESC-1,3,CA,2011,233
BESC-1,Replacement,CA,2011,362
BESC-10,2,CA,2011,522
BESC-10,3,CA,2011,484
BESC-10,Replacement,CA,2011,374
BESC-100,1,CA,2011,234
BESC-100,3,CA,2011,348
BESC-100,Replacement,CA,2011,326
BESC-101,2,CA,2011,352
BESC-101,Replacement,CA,2011,268
BESC-102,1,CA,2011,NA
BESC-102,2,CA,2011,215
BESC-102,Replacement,CA,2011,378
BESC-103,1,CA,2011,346
BESC-103,2,CA,2011,412
BESC-103,3,CA,2011,485
BESC-103,Replacement,CA,2011,290
BESC-105,1,CA,2011,274
BESC-105,2,CA,2011,419
BESC-105,3,CA,2011,330
BESC-105,Replacement,CA,2011,354
BESC-106,1,CA,2011,560
BESC-106,2,CA,2011,459
BESC-106,Replacement,CA,2011,458
BESC-107,3,CA,2011,278
BESC-107,Replacement,CA,2011,244
BESC-108,1,CA,2011,NA
BESC-108,3,CA,2011,359
BESC-108,Replacement,CA,2011,586
BESC-109,3,CA,2011,NA
BESC-109,Replacement,CA,2011,326
BESC-11,1,CA,2011,190
BESC-11,2,CA,2011,356
BESC-11,3,CA,2011,404
BESC-11,Replacement,CA,2011,310
BESC-110,1,CA,2011,474
BESC-110,2,CA,2011,237
BESC-111,1,CA,2011,346
BESC-111,3,CA,2011,358
BESC-112,1,CA,2011,250
BESC-112,2,CA,2011,365
BESC-112,Replacement,CA,2011,275
BESC-113,2,CA,2011,330
BESC-113,3,CA,2011,NA
BESC-113,Replacement,CA,2011,188
BESC-114,1,CA,2011,372
BESC-114,2,CA,2011,207
BESC-114,3,CA,2011,317
BESC-114,Replacement,CA,2011,182
BESC-115,1,CA,2011,572
BESC-115,2,CA,2011,234
BESC-115,3,CA,2011,523
BESC-115,Replacement,CA,2011,480
BESC-116,1,CA,2011,216
BESC-116,2,CA,2011,224
BESC-116,3,CA,2011,408
BESC-116,Replacement,CA,2011,384
BESC-117,1,CA,2011,384
BESC-117,2,CA,2011,199
BESC-117,Replacement,CA,2011,358
BESC-118,1,CA,2011,246
BESC-118,3,CA,2011,385
BESC-118,Replacement,CA,2011,302
BESC-119,2,CA,2011,318
BESC-119,3,CA,2011,265
BESC-119,Replacement,CA,2011,262
BESC-12,1,CA,2011,375
BESC-12,2,CA,2011,188
BESC-12,3,CA,2011,NA
BESC-12,3,CA,2011,NA
BESC-121,1,CA,2011,294
BESC-121,2,CA,2011,328
BESC-121,Replacement,CA,2011,290
BESC-122,3,CA,2011,350
BESC-123,1,CA,2011,NA
BESC-123,2,CA,2011,307
BESC-123,3,CA,2011,402
BESC-123,Replacement,CA,2011,292
BESC-124,1,CA,2011,320
BESC-124,Replacement,CA,2011,284
BESC-125,1,CA,2011,280
BESC-125,3,CA,2011,265
BESC-126,2,CA,2011,416
BESC-126,3,CA,2011,542
BESC-127,1,CA,2011,202
BESC-127,2,CA,2011,NA
